mean_fit_time,std_fit_time,mean_score_time,std_score_time,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,mean_test_score,std_test_score
5.401,1.701,0.32,0.093,0.102,9,629,0.101,0.097,0.234,0.051
7.714,2.499,0.392,0.082,0.101,9,838,2.966,0.467,0.234,0.066
14.135,4.923,0.686,0.215,0.064,9,1972,3.916,0.012,0.233,0.064
5.544,1.862,0.277,0.094,0.078,8,519,2.344,0.138,0.233,0.059
2.306,0.054,0.117,0.008,0.282,5,635,1.989,0.0,0.233,0.052
7.114,0.076,0.509,0.031,0.139,8,1305,0.011,1.717,0.232,0.056
9.665,3.036,0.72,0.218,0.196,8,1501,0.075,0.758,0.232,0.049
7.809,0.091,0.438,0.034,0.062,9,855,1.123,0.09,0.232,0.052
6.673,0.119,0.371,0.026,0.29,5,1899,0.204,0.381,0.232,0.054
5.677,0.201,0.218,0.021,0.203,9,1880,2.294,1.729,0.232,0.064
8.665,3.0,0.484,0.172,0.106,9,882,0.171,0.145,0.231,0.051
13.965,4.311,0.974,0.271,0.11,8,1870,0.035,15.309,0.231,0.058
9.42,3.127,0.725,0.247,0.216,9,1421,0.05,0.0,0.231,0.057
11.961,4.109,0.836,0.275,0.129,8,1692,0.031,0.007,0.231,0.054
11.272,0.142,0.732,0.043,0.057,8,1530,2.472,1.848,0.231,0.058
2.813,0.135,0.13,0.011,0.292,6,780,2.506,0.012,0.231,0.055
11.565,3.255,0.935,0.337,0.162,9,1694,0.001,2.407,0.231,0.052
10.163,0.231,0.842,0.053,0.189,9,1941,0.033,0.0,0.231,0.051
10.731,3.384,0.692,0.178,0.135,8,1573,0.239,0.001,0.23,0.052
10.738,3.612,0.724,0.222,0.094,6,1912,0.129,1.127,0.23,0.052
6.035,0.228,0.401,0.025,0.115,8,1093,0.006,0.001,0.23,0.051
3.913,0.081,0.23,0.015,0.272,6,958,0.001,14.838,0.23,0.053
11.233,3.378,0.619,0.185,0.046,9,1009,2.692,0.047,0.23,0.061
5.282,1.752,0.271,0.085,0.215,8,745,1.666,1.907,0.23,0.063
5.063,0.034,0.31,0.021,0.244,6,1324,0.002,0.0,0.23,0.047
10.991,0.414,0.744,0.055,0.08,8,1944,0.589,0.0,0.23,0.056
11.077,3.455,0.708,0.217,0.12,8,1373,0.39,0.008,0.23,0.055
10.417,3.6,0.652,0.178,0.121,9,1556,0.351,0.005,0.23,0.05
3.329,0.043,0.191,0.012,0.257,6,798,0.005,18.042,0.23,0.065
3.858,1.154,0.128,0.046,0.258,8,1472,6.65,0.007,0.23,0.067
5.08,0.122,0.285,0.02,0.065,8,722,0.441,0.666,0.23,0.051
5.142,1.576,0.306,0.113,0.173,8,673,0.394,0.487,0.23,0.058
2.493,0.89,0.134,0.039,0.25,5,618,0.005,0.069,0.23,0.048
5.77,0.32,0.304,0.027,0.066,9,691,7.378,0.003,0.23,0.075
10.333,3.52,0.713,0.196,0.081,7,1818,0.06,0.006,0.23,0.053
2.533,0.053,0.123,0.01,0.255,6,592,3.158,0.001,0.229,0.058
6.782,2.135,0.36,0.125,0.064,9,582,0.173,0.076,0.229,0.053
7.637,2.558,0.414,0.226,0.144,8,1637,1.578,0.44,0.229,0.06
11.392,3.996,0.823,0.302,0.166,7,1887,0.0,0.13,0.229,0.055
6.372,0.113,0.485,0.035,0.296,8,1303,0.015,0.541,0.229,0.057
10.783,0.168,0.564,0.04,0.029,9,1130,1.891,0.0,0.229,0.056
11.906,3.722,0.81,0.182,0.063,8,1658,0.129,1.004,0.229,0.052
4.171,0.079,0.211,0.014,0.284,4,1569,0.002,1.164,0.229,0.048
5.644,0.094,0.345,0.023,0.186,5,1781,0.005,9.301,0.229,0.054
8.799,0.176,0.771,0.051,0.262,9,1801,0.001,0.282,0.229,0.055
5.832,2.089,0.364,0.123,0.275,7,885,0.05,0.002,0.229,0.052
4.911,0.027,0.292,0.021,0.06,8,767,0.018,1.83,0.229,0.049
3.091,0.058,0.153,0.01,0.198,4,1136,1.061,0.076,0.229,0.054
6.852,0.15,0.519,0.033,0.195,8,1484,0.0,0.037,0.229,0.049
8.33,0.161,0.646,0.046,0.258,7,1855,0.0,2.744,0.229,0.054
9.041,0.152,0.573,0.043,0.037,9,1160,0.14,0.004,0.229,0.052
6.229,0.109,0.498,0.033,0.27,8,1370,0.0,0.048,0.229,0.05
16.282,5.642,1.036,0.287,0.066,9,1966,0.508,0.039,0.229,0.054
6.282,0.088,0.397,0.031,0.17,9,828,0.0,13.306,0.229,0.06
10.427,0.202,0.759,0.05,0.049,9,1523,0.025,0.001,0.229,0.048
3.545,1.25,0.212,0.074,0.296,6,737,0.001,2.287,0.229,0.051
3.53,0.135,0.148,0.017,0.253,6,1328,2.736,0.089,0.229,0.053
8.18,0.139,0.561,0.039,0.295,7,1910,0.025,0.02,0.228,0.052
7.381,2.645,0.422,0.119,0.162,5,1602,0.019,0.013,0.228,0.05
7.731,2.692,0.444,0.132,0.272,5,1974,0.001,0.002,0.228,0.045
5.234,0.102,0.291,0.021,0.256,5,1588,0.0,0.0,0.228,0.049
3.609,0.058,0.203,0.014,0.268,5,1099,0.015,0.001,0.228,0.053
7.062,0.093,0.464,0.04,0.148,8,1127,0.002,13.381,0.228,0.058
3.882,0.047,0.21,0.014,0.253,8,561,0.434,10.37,0.228,0.061
11.146,3.758,0.731,0.272,0.187,8,1805,0.15,0.234,0.228,0.056
7.988,2.478,0.484,0.142,0.195,8,1167,0.444,0.92,0.228,0.058
9.81,3.46,0.612,0.192,0.131,7,1886,0.503,0.002,0.228,0.053
7.174,2.526,0.538,0.144,0.255,9,1138,0.014,0.0,0.228,0.053
14.889,4.499,0.944,0.187,0.052,9,1565,0.453,0.009,0.228,0.053
14.703,5.291,1.104,0.326,0.125,9,1862,0.058,0.057,0.228,0.049
8.007,2.748,0.593,0.192,0.28,9,992,0.0,1.934,0.228,0.056
8.486,3.158,0.457,0.131,0.28,7,1571,0.248,0.072,0.228,0.056
11.505,4.074,0.835,0.24,0.115,9,1516,0.0,0.046,0.228,0.049
11.109,3.416,0.911,0.38,0.139,8,1980,0.0,0.174,0.228,0.054
5.25,1.822,0.247,0.084,0.182,7,1168,2.63,0.598,0.228,0.058
7.656,0.138,0.578,0.044,0.096,9,1305,0.002,0.009,0.228,0.047
5.811,0.098,0.41,0.029,0.296,7,1320,0.012,0.425,0.228,0.05
6.696,0.152,0.537,0.034,0.289,9,1328,0.005,0.127,0.228,0.048
6.725,2.123,0.396,0.12,0.288,7,912,0.437,3.147,0.228,0.059
7.549,2.591,0.46,0.127,0.227,7,1283,0.16,0.443,0.228,0.055
4.678,0.062,0.277,0.022,0.115,5,1456,0.0,0.001,0.228,0.047
5.92,2.084,0.328,0.12,0.071,9,534,0.085,0.826,0.227,0.052
6.214,2.216,0.312,0.093,0.275,5,1624,0.693,0.0,0.227,0.051
4.468,0.203,0.242,0.013,0.209,8,743,0.682,0.039,0.227,0.053
7.769,0.047,0.498,0.036,0.06,6,1775,1.101,0.244,0.227,0.054
11.518,3.794,0.815,0.3,0.128,7,1899,0.0,0.687,0.227,0.048
8.028,0.234,0.53,0.047,0.304,7,1518,0.544,6.705,0.227,0.06
7.028,0.144,0.534,0.036,0.25,8,1352,0.0,2.375,0.227,0.05
9.864,0.202,0.744,0.05,0.104,8,1955,0.0,0.437,0.227,0.048
4.027,0.222,0.148,0.018,0.156,7,1648,5.749,0.0,0.227,0.064
5.477,0.095,0.332,0.022,0.113,5,1702,0.0,0.753,0.227,0.053
14.212,0.147,0.932,0.065,0.033,8,1992,0.983,0.002,0.227,0.054
9.797,3.316,0.722,0.184,0.247,7,1953,0.0,0.187,0.227,0.05
16.193,0.292,1.075,0.072,0.232,9,1923,0.503,23.117,0.227,0.061
6.055,0.18,0.329,0.009,0.147,9,1027,0.818,0.049,0.227,0.052
8.863,3.339,0.68,0.207,0.266,9,1223,0.001,0.354,0.227,0.054
6.815,0.092,0.461,0.033,0.094,7,1449,0.013,0.003,0.227,0.048
6.234,0.153,0.393,0.024,0.23,6,1620,0.008,1.153,0.227,0.053
7.724,0.129,0.582,0.036,0.09,9,1289,0.002,0.024,0.227,0.053
7.925,0.233,0.677,0.04,0.154,9,1520,0.001,0.052,0.227,0.053
8.533,0.41,0.433,0.02,0.134,8,1939,1.599,3.477,0.227,0.058
3.649,1.073,0.224,0.087,0.15,7,627,0.004,0.001,0.227,0.049
3.824,0.078,0.261,0.017,0.218,9,648,0.0,0.013,0.227,0.059
9.106,0.157,0.633,0.039,0.23,9,1158,0.008,26.909,0.227,0.062
12.052,4.04,0.725,0.156,0.231,7,1550,0.667,8.23,0.227,0.059
4.573,0.062,0.275,0.021,0.211,6,1108,0.0,25.13,0.227,0.056
5.975,2.304,0.303,0.121,0.139,7,1059,2.404,0.01,0.227,0.058
9.607,2.992,0.771,0.225,0.175,8,1753,0.0,0.0,0.227,0.049
5.258,1.797,0.289,0.083,0.219,8,547,0.622,0.002,0.227,0.05
4.589,0.085,0.282,0.016,0.196,6,1170,0.0,1.752,0.227,0.048
7.423,0.101,0.412,0.028,0.045,7,1254,2.355,0.001,0.227,0.053
2.72,0.065,0.151,0.009,0.276,5,820,0.001,0.483,0.227,0.045
7.852,2.404,0.564,0.178,0.156,8,1305,0.014,0.006,0.227,0.049
6.28,0.133,0.379,0.026,0.307,5,1910,0.037,22.462,0.226,0.053
11.573,0.088,0.727,0.049,0.074,9,1395,0.635,2.301,0.226,0.057
4.336,0.446,0.311,0.021,0.303,9,788,0.0,0.072,0.226,0.052
9.987,0.176,0.757,0.05,0.072,9,1571,0.064,0.002,0.226,0.05
6.505,2.255,0.291,0.081,0.25,7,1891,0.667,0.037,0.226,0.053
9.594,0.275,0.613,0.04,0.074,7,1723,1.346,0.116,0.226,0.057
5.324,0.111,0.298,0.019,0.162,5,1624,0.102,0.0,0.226,0.05
7.032,2.594,0.367,0.115,0.108,6,1137,3.206,0.003,0.226,0.056
4.972,0.078,0.246,0.014,0.304,4,1821,0.035,0.001,0.226,0.038
6.632,0.173,0.54,0.034,0.288,9,1335,0.001,0.005,0.226,0.053
9.481,0.115,0.712,0.045,0.088,9,1439,0.136,0.009,0.226,0.051
5.641,0.143,0.339,0.023,0.221,6,1433,0.031,0.546,0.226,0.051
11.814,4.039,0.929,0.236,0.1,9,1804,0.0,0.119,0.226,0.046
16.161,4.894,1.227,0.506,0.309,9,1924,0.002,21.16,0.226,0.061
6.364,0.163,0.315,0.033,0.178,8,1828,0.625,0.004,0.226,0.057
4.718,0.064,0.298,0.019,0.303,7,988,0.094,0.025,0.226,0.05
6.021,1.823,0.337,0.12,0.072,9,629,0.261,0.0,0.226,0.046
8.89,2.941,0.63,0.213,0.217,7,1522,0.001,0.035,0.226,0.053
4.172,0.102,0.237,0.013,0.207,5,1266,0.006,0.002,0.226,0.05
8.117,0.29,0.533,0.036,0.235,7,1677,0.122,0.011,0.226,0.054
11.47,3.728,0.8,0.143,0.098,8,1683,0.126,0.028,0.226,0.051
4.312,1.482,0.175,0.081,0.221,9,1001,5.84,0.078,0.226,0.07
4.163,1.349,0.25,0.09,0.295,7,678,0.0,9.586,0.226,0.06
4.301,0.049,0.255,0.018,0.205,7,816,0.159,10.303,0.226,0.056
4.815,0.084,0.275,0.018,0.248,5,1484,0.0,0.0,0.226,0.04
2.954,0.125,0.12,0.016,0.218,6,1105,4.582,0.004,0.226,0.055
4.801,1.487,0.262,0.081,0.095,7,712,1.067,1.251,0.226,0.051
7.461,2.295,0.484,0.198,0.063,7,1205,0.3,0.059,0.226,0.052
7.429,2.335,0.595,0.207,0.246,9,1230,0.004,0.0,0.226,0.054
6.891,0.151,0.544,0.037,0.209,8,1425,0.0,0.383,0.226,0.047
5.135,1.654,0.263,0.073,0.047,8,610,0.0,0.0,0.226,0.053
7.266,0.184,0.461,0.036,0.231,7,1518,0.111,0.004,0.226,0.049
4.075,1.274,0.232,0.09,0.263,8,524,0.01,14.875,0.226,0.056
8.554,2.764,0.618,0.123,0.249,8,1242,0.002,7.807,0.226,0.053
7.227,2.34,0.457,0.107,0.149,9,874,0.002,4.249,0.226,0.053
5.877,0.054,0.36,0.026,0.265,6,1413,0.002,20.479,0.226,0.059
7.318,0.174,0.526,0.032,0.213,7,1622,0.041,0.003,0.225,0.052
6.787,0.085,0.457,0.029,0.083,7,1438,0.001,0.007,0.225,0.048
8.492,2.743,0.556,0.15,0.164,7,1523,0.015,1.979,0.225,0.054
8.005,0.083,0.506,0.041,0.174,7,1444,0.717,7.183,0.225,0.059
6.094,0.068,0.376,0.03,0.302,8,882,0.187,23.817,0.225,0.062
4.6,1.346,0.217,0.081,0.221,7,1089,1.906,0.0,0.225,0.055
