mean_fit_time,std_fit_time,mean_score_time,std_score_time,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,mean_test_score,std_test_score
4.122,1.361,0.221,0.092,0.191,4,1311,0.008,5.016,0.055,0.027
1.481,0.04,0.067,0.004,0.27,3,652,0.01,0.976,0.055,0.035
4.332,0.079,0.177,0.011,0.272,3,1881,0.207,0.49,0.055,0.026
1.428,0.559,0.036,0.009,0.287,2,771,17.307,0.076,0.055,0.048
7.87,2.735,0.435,0.125,0.307,5,1910,0.037,22.462,0.054,0.032
4.143,1.285,0.253,0.112,0.268,5,1099,0.015,0.001,0.054,0.032
5.21,0.079,0.248,0.016,0.284,4,1850,0.141,1.56,0.054,0.03
3.144,0.051,0.161,0.011,0.239,4,1192,0.005,5.91,0.053,0.031
5.854,1.102,0.387,0.133,0.258,6,1282,0.064,19.108,0.053,0.035
3.686,1.32,0.115,0.05,0.277,5,1551,2.958,0.002,0.053,0.025
1.716,0.029,0.061,0.005,0.083,2,970,0.004,0.022,0.053,0.042
2.357,0.032,0.118,0.008,0.261,4,872,0.135,11.081,0.053,0.035
2.173,0.827,0.083,0.028,0.292,6,780,2.506,0.012,0.052,0.034
5.728,0.093,0.344,0.021,0.267,5,1893,0.0,0.001,0.052,0.021
6.815,2.246,0.416,0.128,0.265,6,1413,0.002,20.479,0.052,0.035
2.269,0.041,0.08,0.005,0.053,2,1316,0.013,0.252,0.051,0.042
3.793,0.05,0.229,0.014,0.272,6,958,0.001,14.838,0.051,0.033
5.185,1.811,0.262,0.079,0.151,4,1640,0.0,3.062,0.051,0.026
5.276,0.163,0.242,0.017,0.272,4,1990,0.834,9.178,0.051,0.026
3.664,0.059,0.156,0.011,0.208,3,1648,0.005,0.016,0.051,0.027
4.236,1.468,0.193,0.066,0.171,3,1658,0.006,5.825,0.051,0.03
1.854,0.034,0.063,0.004,0.254,2,1013,0.02,0.0,0.051,0.04
2.494,0.038,0.148,0.009,0.296,7,502,0.0,19.741,0.051,0.031
4.171,0.195,0.181,0.012,0.19,3,1921,0.087,8.757,0.051,0.028
3.246,0.08,0.154,0.011,0.181,4,1241,1.127,0.703,0.051,0.025
2.894,0.033,0.119,0.008,0.309,3,1240,0.144,0.0,0.051,0.028
4.427,0.054,0.266,0.017,0.211,6,1108,0.0,25.13,0.05,0.036
5.982,1.911,0.367,0.14,0.147,5,1409,0.018,0.056,0.05,0.033
5.949,2.081,0.269,0.103,0.157,3,1997,0.001,6.738,0.05,0.028
2.543,0.038,0.083,0.006,0.215,2,1398,0.001,0.001,0.05,0.035
5.299,1.77,0.266,0.077,0.268,5,1162,0.004,17.591,0.05,0.025
2.711,0.047,0.116,0.008,0.233,3,1211,0.04,0.101,0.049,0.029
4.901,1.538,0.293,0.115,0.278,7,1237,0.107,0.023,0.049,0.019
5.22,1.842,0.263,0.086,0.275,4,1621,0.007,7.577,0.049,0.024
2.447,0.864,0.085,0.034,0.249,2,1109,0.003,0.007,0.049,0.037
