mean_fit_time,std_fit_time,mean_score_time,std_score_time,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,mean_test_score,std_test_score
4.605,1.152,0.215,0.07,0.104,3,1876,0.005,0.0,0.049,0.032
3.471,0.052,0.109,0.007,0.3,2,1851,0.287,0.007,0.049,0.029
3.794,1.384,0.187,0.07,0.297,4,981,0.002,0.161,0.049,0.032
3.689,1.274,0.222,0.095,0.195,5,965,0.042,15.196,0.049,0.035
4.164,1.429,0.264,0.098,0.263,8,524,0.01,14.875,0.049,0.037
1.5,0.023,0.075,0.032,0.278,2,757,0.007,0.139,0.048,0.031
2.295,0.101,0.078,0.003,0.269,9,1152,3.784,0.017,0.048,0.034
5.195,0.078,0.272,0.02,0.269,4,1905,0.003,58.104,0.048,0.025
3.343,0.068,0.109,0.007,0.205,2,1845,0.047,0.098,0.048,0.035
4.069,1.47,0.131,0.043,0.287,2,1833,0.0,0.625,0.048,0.031
3.816,1.318,0.229,0.07,0.257,6,798,0.005,18.042,0.048,0.027
11.843,3.241,0.885,0.213,0.11,8,1870,0.035,15.309,0.048,0.037
10.419,3.691,0.615,0.146,0.227,7,1382,0.006,65.5,0.048,0.033
2.852,0.047,0.165,0.01,0.249,5,907,0.01,0.001,0.048,0.024
7.609,2.778,0.486,0.189,0.028,6,1458,0.149,0.032,0.048,0.036
2.035,0.026,0.068,0.005,0.303,2,1095,0.0,0.023,0.048,0.035
3.496,1.135,0.213,0.088,0.298,5,931,0.0,0.007,0.048,0.02
2.441,0.05,0.081,0.004,0.238,2,1338,0.002,0.003,0.048,0.032
10.076,0.176,0.723,0.047,0.242,8,1786,0.001,24.758,0.048,0.037
5.786,1.346,0.306,0.124,0.304,4,1821,0.035,0.001,0.048,0.021
2.647,0.049,0.087,0.006,0.259,2,1447,0.002,0.011,0.048,0.034
3.183,0.034,0.186,0.013,0.268,7,619,0.053,25.153,0.048,0.036
11.951,3.717,0.882,0.247,0.073,8,1901,0.026,10.854,0.048,0.035
4.056,0.059,0.171,0.013,0.298,3,1804,0.0,0.192,0.048,0.022
3.048,0.041,0.1,0.006,0.229,2,1671,0.272,0.001,0.047,0.032
4.13,1.665,0.198,0.081,0.256,5,1229,0.285,0.007,0.047,0.021
3.626,1.135,0.141,0.043,0.262,3,1450,2.019,0.011,0.047,0.026
5.483,0.037,0.336,0.025,0.302,8,882,0.187,23.817,0.047,0.036
3.569,0.06,0.116,0.008,0.284,2,1952,0.001,0.012,0.047,0.029
3.935,1.165,0.174,0.071,0.174,3,1472,0.009,0.0,0.047,0.023
5.239,0.068,0.331,0.03,0.109,6,1345,0.166,9.158,0.047,0.034
2.716,0.052,0.094,0.007,0.046,2,1594,0.0,0.001,0.047,0.04
4.367,0.144,0.259,0.02,0.227,7,1283,0.16,0.443,0.047,0.027
1.157,0.023,0.044,0.003,0.129,2,631,0.0,0.867,0.047,0.038
4.386,1.452,0.287,0.108,0.295,7,678,0.0,9.586,0.047,0.036
13.658,4.484,0.991,0.251,0.309,9,1924,0.002,21.16,0.047,0.037
4.666,1.676,0.199,0.059,0.154,3,1753,0.014,0.0,0.047,0.029
5.365,1.8,0.275,0.111,0.307,4,1661,0.0,0.078,0.047,0.021
3.208,0.106,0.139,0.01,0.267,4,1340,3.102,33.663,0.046,0.029
12.987,4.035,0.955,0.262,0.011,9,1835,0.0,0.0,0.046,0.033
6.225,0.153,0.357,0.013,0.06,6,1775,1.101,0.244,0.046,0.032
4.604,1.38,0.17,0.013,0.237,3,1783,0.007,3.836,0.046,0.018
6.92,2.237,0.448,0.135,0.027,6,1590,0.0,0.002,0.046,0.035
4.919,1.722,0.282,0.108,0.267,5,1050,0.123,7.608,0.046,0.021
2.901,0.035,0.094,0.006,0.234,2,1567,0.243,0.003,0.046,0.031
3.685,1.306,0.117,0.021,0.292,5,1633,0.885,0.0,0.046,0.02
3.096,0.047,0.146,0.011,0.254,4,1091,0.23,0.055,0.046,0.021
3.819,1.298,0.128,0.055,0.228,2,1738,0.003,0.0,0.046,0.031
2.11,0.589,0.122,0.035,0.274,5,551,0.001,0.004,0.046,0.03
3.114,0.053,0.181,0.011,0.276,5,988,0.005,0.001,0.046,0.021
1.924,0.037,0.068,0.004,0.091,2,1091,0.104,0.216,0.046,0.035
1.455,0.032,0.052,0.003,0.128,2,790,0.921,0.567,0.046,0.038
4.257,0.06,0.255,0.018,0.181,5,1363,0.0,0.476,0.046,0.027
2.449,0.838,0.107,0.044,0.243,3,883,0.3,0.004,0.046,0.034
2.984,0.041,0.098,0.006,0.251,2,1625,0.004,0.003,0.045,0.028
3.398,0.922,0.166,0.089,0.108,6,1137,3.206,0.003,0.045,0.037
1.868,0.034,0.065,0.004,0.269,2,1015,0.003,0.0,0.045,0.034
12.376,0.366,0.865,0.079,0.232,9,1923,0.503,23.117,0.045,0.039
5.46,1.98,0.274,0.097,0.267,4,1683,0.006,0.118,0.045,0.02
2.95,0.058,0.122,0.008,0.246,3,1266,0.331,0.001,0.045,0.022
5.691,2.072,0.257,0.087,0.075,3,1900,0.101,0.006,0.045,0.037
3.621,1.142,0.267,0.106,0.196,7,780,0.001,0.056,0.045,0.034
3.204,0.041,0.179,0.011,0.307,6,746,0.002,48.304,0.045,0.027
2.69,0.073,0.192,0.012,0.208,7,690,0.0,0.0,0.045,0.031
2.118,0.378,0.066,0.004,0.265,2,1054,0.009,0.877,0.045,0.033
3.152,0.06,0.105,0.007,0.167,2,1770,0.038,0.595,0.045,0.037
4.575,0.084,0.202,0.014,0.29,5,1899,0.204,0.381,0.045,0.023
3.401,0.072,0.206,0.014,0.253,8,561,0.434,10.37,0.045,0.035
4.883,1.769,0.163,0.065,0.19,2,1879,0.542,0.098,0.045,0.034
5.003,1.71,0.287,0.094,0.288,7,912,0.437,3.147,0.045,0.033
5.022,1.746,0.241,0.094,0.203,4,1575,1.366,5.846,0.045,0.026
2.424,0.031,0.119,0.007,0.241,4,905,0.452,5.868,0.045,0.026
4.25,0.061,0.162,0.013,0.283,3,1964,0.892,0.001,0.045,0.022
6.965,2.403,0.355,0.105,0.288,9,1243,1.75,24.926,0.045,0.041
4.463,1.518,0.267,0.098,0.093,5,1197,0.029,0.022,0.044,0.023
2.352,0.141,0.118,0.021,0.209,8,743,0.682,0.039,0.044,0.038
4.805,0.083,0.249,0.018,0.24,4,1824,0.0,0.131,0.044,0.023
2.206,0.038,0.108,0.007,0.27,4,808,0.0,0.022,0.044,0.026
1.889,0.112,0.087,0.004,0.226,9,561,2.385,0.0,0.044,0.032
9.503,2.866,0.802,0.251,0.036,9,1402,0.027,0.012,0.044,0.032
2.847,0.075,0.094,0.008,0.203,5,1629,2.868,0.014,0.044,0.029
7.716,0.094,0.566,0.032,0.23,9,1158,0.008,26.909,0.044,0.035
2.352,0.053,0.1,0.006,0.221,3,1053,0.001,0.055,0.044,0.027
3.973,1.171,0.288,0.114,0.165,7,839,0.018,0.027,0.044,0.029
4.037,1.451,0.188,0.073,0.097,3,1374,0.118,15.525,0.044,0.035
3.198,0.056,0.161,0.009,0.297,4,1188,0.007,0.002,0.044,0.018
7.122,2.491,0.493,0.141,0.046,6,1665,0.001,0.001,0.044,0.03
3.368,0.052,0.111,0.008,0.154,2,1868,0.0,0.0,0.044,0.039
3.268,0.06,0.117,0.007,0.019,2,1958,0.001,5.058,0.044,0.041
2.518,0.07,0.076,0.005,0.21,2,1488,5.866,0.086,0.044,0.045
4.176,0.065,0.265,0.017,0.067,6,1132,0.1,0.116,0.044,0.03
2.426,0.061,0.109,0.009,0.113,3,1141,0.008,0.194,0.044,0.041
4.207,0.071,0.21,0.014,0.209,4,1578,0.215,9.057,0.044,0.023
2.48,0.9,0.083,0.032,0.27,2,912,3.646,0.0,0.044,0.044
1.803,0.029,0.065,0.004,0.063,2,1025,0.111,0.001,0.043,0.037
4.697,1.334,0.285,0.093,0.3,5,1296,0.004,0.124,0.043,0.017
5.392,0.162,0.312,0.02,0.013,9,772,0.033,0.0,0.043,0.039
2.264,0.045,0.077,0.004,0.183,2,1260,0.0,0.016,0.043,0.036
3.946,0.075,0.161,0.018,0.197,3,1848,1.792,0.522,0.043,0.027
2.381,0.802,0.104,0.041,0.258,3,878,0.108,2.856,0.043,0.022
2.317,0.032,0.081,0.005,0.098,2,1329,0.011,0.249,0.043,0.035
1.981,0.042,0.112,0.006,0.298,5,600,0.006,0.008,0.043,0.029
4.075,1.391,0.136,0.055,0.139,2,1839,1.665,0.001,0.043,0.04
1.534,0.525,0.069,0.028,0.257,2,649,0.0,0.071,0.043,0.035
4.553,1.527,0.325,0.108,0.28,8,776,0.022,3.834,0.043,0.028
1.384,0.023,0.051,0.003,0.179,2,749,0.006,0.005,0.043,0.035
1.44,0.045,0.051,0.003,0.166,2,771,0.529,0.104,0.043,0.033
4.581,0.06,0.22,0.014,0.293,4,1617,0.173,1.219,0.043,0.022
2.078,0.244,0.094,0.038,0.21,2,1011,0.004,0.048,0.043,0.035
2.852,0.055,0.124,0.008,0.241,3,1298,0.04,2.929,0.043,0.024
4.136,0.052,0.178,0.013,0.305,3,1885,0.001,6.536,0.043,0.025
3.7,0.259,0.175,0.057,0.294,4,1707,1.187,1.346,0.043,0.026
17.057,5.52,1.139,0.318,0.169,9,1940,0.347,42.032,0.043,0.03
4.801,2.175,0.295,0.115,0.047,8,610,0.0,0.0,0.043,0.031
3.198,0.042,0.145,0.01,0.123,3,1518,0.224,21.539,0.043,0.03
6.19,1.247,0.348,0.028,0.014,6,1490,0.099,0.001,0.043,0.036
3.514,1.222,0.25,0.088,0.15,7,627,0.004,0.001,0.043,0.032
4.542,1.664,0.168,0.056,0.275,5,1624,0.693,0.0,0.043,0.021
2.325,0.045,0.08,0.004,0.076,2,1340,0.002,0.0,0.043,0.036
10.22,3.013,0.589,0.162,0.041,6,1870,1.455,0.062,0.043,0.032
3.03,0.045,0.101,0.007,0.131,2,1696,0.946,0.131,0.043,0.038
3.942,1.298,0.2,0.069,0.247,4,1247,0.0,23.232,0.043,0.026
2.329,0.044,0.101,0.007,0.238,3,1043,0.009,0.337,0.043,0.019
5.236,1.749,0.221,0.071,0.248,3,1932,0.0,0.0,0.042,0.024
1.539,0.545,0.058,0.021,0.263,2,678,0.102,0.016,0.042,0.039
6.204,2.142,0.465,0.169,0.257,8,1043,0.024,0.001,0.042,0.025
8.259,2.59,0.61,0.213,0.303,9,1183,0.003,13.482,0.042,0.035
3.047,0.072,0.136,0.013,0.19,5,1200,3.608,18.552,0.042,0.037
1.252,0.015,0.046,0.002,0.273,2,670,0.025,0.0,0.042,0.039
2.241,0.036,0.127,0.008,0.255,5,695,0.0,15.408,0.042,0.019
4.443,1.409,0.309,0.107,0.072,9,629,0.261,0.0,0.042,0.033
4.04,0.868,0.288,0.114,0.11,6,1002,0.003,0.382,0.042,0.026
3.631,0.11,0.163,0.013,0.28,7,1571,0.248,0.072,0.042,0.02
4.773,1.726,0.212,0.065,0.231,3,1826,0.0,5.868,0.042,0.023
5.062,0.239,0.245,0.022,0.241,5,1876,0.188,0.377,0.042,0.019
2.947,0.053,0.122,0.008,0.252,3,1284,0.578,0.002,0.042,0.025
1.539,0.025,0.055,0.003,0.181,2,850,0.001,0.0,0.042,0.038
4.899,0.093,0.291,0.02,0.256,5,1588,0.0,0.0,0.042,0.02
4.549,0.064,0.272,0.016,0.248,5,1484,0.0,0.0,0.042,0.02
5.088,0.063,0.413,0.026,0.179,8,1262,0.0,0.002,0.042,0.026
4.196,1.025,0.249,0.018,0.275,7,885,0.05,0.002,0.042,0.02
5.842,1.955,0.284,0.084,0.274,4,1754,0.024,0.006,0.042,0.016
3.137,0.055,0.164,0.011,0.27,5,878,1.358,33.658,0.042,0.027
2.841,0.938,0.103,0.049,0.231,2,1320,1.775,42.966,0.042,0.052
2.7,0.046,0.09,0.006,0.155,2,1511,0.02,0.1,0.041,0.038
5.965,2.22,0.293,0.092,0.25,4,1543,0.031,0.155,0.041,0.026
4.416,1.442,0.25,0.099,0.266,5,1102,0.194,5.533,0.041,0.024
2.226,0.037,0.126,0.008,0.284,5,698,0.0,0.041,0.041,0.018
2.298,0.038,0.133,0.01,0.268,6,561,0.249,0.0,0.041,0.019
1.583,0.085,0.07,0.004,0.282,5,635,1.989,0.0,0.041,0.023
2.134,0.051,0.092,0.006,0.205,3,956,0.305,0.912,0.041,0.027
3.071,1.145,0.102,0.03,0.094,2,1421,0.568,2.663,0.041,0.034
3.233,0.969,0.275,0.112,0.295,9,612,0.0,0.0,0.041,0.015
5.18,0.067,0.26,0.02,0.103,4,1925,0.568,0.922,0.041,0.02
1.358,0.023,0.061,0.004,0.283,3,588,0.001,0.003,0.041,0.031
5.786,0.084,0.337,0.021,0.296,7,1039,0.7,31.71,0.041,0.027
1.575,0.023,0.073,0.004,0.166,3,723,0.001,4.894,0.04,0.036
5.445,1.485,0.341,0.059,0.058,6,1326,0.0,0.057,0.04,0.026
9.482,3.077,0.631,0.187,0.183,7,1704,0.001,16.853,0.04,0.028
10.018,3.236,0.645,0.196,0.029,9,1130,1.891,0.0,0.04,0.034
4.464,1.575,0.219,0.065,0.159,4,1360,0.077,0.384,0.04,0.024
6.006,1.866,0.267,0.08,0.286,8,1672,1.981,25.548,0.04,0.026
3.575,1.115,0.124,0.053,0.136,2,1685,1.002,0.201,0.04,0.039
4.886,0.088,0.237,0.014,0.153,4,1763,0.708,1.245,0.04,0.021
9.381,3.235,0.683,0.251,0.151,7,1979,0.039,0.002,0.04,0.022
10.27,3.453,0.697,0.236,0.048,8,1480,0.251,16.97,0.04,0.038
6.259,2.224,0.316,0.117,0.164,4,1662,0.0,0.063,0.04,0.024
1.345,0.019,0.048,0.003,0.177,2,715,1.822,0.0,0.04,0.035
2.821,0.045,0.097,0.007,0.053,2,1641,0.002,1.248,0.04,0.035
2.367,0.047,0.052,0.004,0.205,2,1666,12.337,0.001,0.04,0.033
2.439,0.034,0.048,0.003,0.187,2,1810,17.296,0.035,0.04,0.034
2.049,0.037,0.071,0.004,0.229,2,1164,0.0,36.637,0.04,0.049
3.085,1.107,0.106,0.036,0.073,2,1476,0.001,0.59,0.04,0.034
1.585,0.019,0.079,0.005,0.235,4,570,0.002,0.109,0.04,0.026
3.665,1.274,0.125,0.043,0.068,2,1752,0.01,0.0,0.04,0.031
4.342,0.154,0.221,0.012,0.263,8,1752,0.135,0.075,0.04,0.018
3.345,0.086,0.15,0.01,0.111,3,1558,0.019,0.001,0.04,0.024
2.613,0.047,0.14,0.009,0.243,6,588,0.003,79.272,0.04,0.034
7.068,0.145,0.544,0.031,0.129,7,1881,0.0,0.009,0.04,0.023
2.862,0.05,0.095,0.006,0.16,2,1593,3.494,30.362,0.04,0.05
5.455,1.81,0.371,0.151,0.244,6,1324,0.002,0.0,0.039,0.02
6.745,2.412,0.342,0.127,0.22,4,1802,0.001,0.0,0.039,0.023
3.853,0.058,0.231,0.015,0.015,6,1003,0.209,0.329,0.039,0.042
4.504,0.778,0.229,0.071,0.221,3,1716,0.284,2.208,0.039,0.02
8.377,2.54,0.528,0.169,0.055,7,1313,2.91,8.211,0.039,0.034
4.654,0.06,0.231,0.016,0.272,4,1706,0.036,0.032,0.039,0.02
1.935,0.599,0.073,0.023,0.254,8,760,6.638,0.0,0.039,0.038
2.135,0.718,0.099,0.031,0.084,3,831,0.08,4.686,0.039,0.043
5.581,0.075,0.359,0.025,0.016,6,1407,0.911,0.046,0.039,0.035
4.85,1.692,0.266,0.102,0.2,5,1021,0.681,25.417,0.039,0.024
2.679,0.065,0.075,0.004,0.266,2,1667,5.54,0.598,0.039,0.044
5.486,0.066,0.434,0.024,0.291,8,1395,0.0,0.003,0.039,0.026
2.418,0.866,0.114,0.054,0.205,3,915,0.005,1.848,0.039,0.026
4.967,0.064,0.39,0.018,0.255,9,1138,0.014,0.0,0.039,0.023
2.451,0.845,0.084,0.024,0.256,2,1128,0.042,54.12,0.039,0.047
1.935,0.032,0.083,0.005,0.299,3,838,0.0,0.002,0.039,0.02
2.525,0.98,0.066,0.022,0.244,2,1319,8.07,0.001,0.039,0.046
2.059,0.738,0.09,0.031,0.288,3,738,2.73,2.664,0.039,0.026
6.985,0.227,0.463,0.079,0.219,8,1744,0.264,3.63,0.039,0.027
3.946,0.089,0.166,0.012,0.215,3,1705,0.873,0.001,0.039,0.019
8.654,2.975,0.565,0.154,0.094,6,1912,0.129,1.127,0.039,0.023
6.746,2.376,0.39,0.114,0.297,5,1783,0.008,0.329,0.039,0.022
5.417,0.064,0.434,0.021,0.288,9,1335,0.001,0.005,0.039,0.015
2.25,0.044,0.075,0.004,0.205,2,1240,5.592,35.744,0.039,0.049
3.735,0.154,0.135,0.014,0.267,5,1907,0.573,0.125,0.039,0.026
3.231,1.093,0.196,0.084,0.084,6,676,0.14,11.682,0.039,0.04
3.114,1.094,0.14,0.052,0.184,3,966,0.311,0.001,0.039,0.027
9.187,3.168,0.626,0.207,0.086,6,1815,0.001,5.304,0.039,0.026
3.873,0.04,0.219,0.015,0.157,6,913,0.992,13.36,0.039,0.026
6.836,2.141,0.312,0.099,0.064,9,1972,3.916,0.012,0.039,0.033
9.286,3.218,0.692,0.248,0.263,8,1560,0.025,0.465,0.039,0.022
3.304,1.074,0.168,0.07,0.2,4,1025,0.043,0.001,0.039,0.025
4.098,0.034,0.26,0.018,0.27,6,1125,0.008,0.713,0.039,0.018
2.306,0.024,0.104,0.007,0.138,3,1090,0.001,45.346,0.039,0.032
3.709,1.223,0.232,0.073,0.216,6,809,0.0,9.879,0.039,0.024
4.834,1.674,0.229,0.078,0.018,3,1974,0.006,33.571,0.039,0.043
6.691,2.141,0.459,0.184,0.154,6,1639,0.0,0.0,0.038,0.024
3.591,0.075,0.181,0.015,0.153,4,1346,0.279,1.67,0.038,0.023
5.856,2.006,0.297,0.089,0.152,4,1823,0.001,0.0,0.038,0.022
1.375,0.025,0.05,0.003,0.185,2,742,0.0,0.0,0.038,0.035
4.345,0.053,0.255,0.016,0.261,5,1379,0.001,0.733,0.038,0.02
7.943,2.699,0.542,0.152,0.054,6,1920,0.001,0.038,0.038,0.023
8.309,0.141,0.656,0.041,0.189,9,1941,0.033,0.0,0.038,0.019
2.692,0.04,0.091,0.007,0.242,2,1508,1.078,34.198,0.038,0.046
7.178,2.394,0.618,0.247,0.266,9,1223,0.001,0.354,0.038,0.022
3.219,0.049,0.152,0.009,0.033,3,1598,0.0,8.17,0.038,0.043
3.056,0.045,0.187,0.012,0.154,6,805,0.11,0.001,0.038,0.02
5.408,0.06,0.424,0.026,0.27,8,1370,0.0,0.048,0.038,0.015
5.008,0.079,0.391,0.024,0.192,8,1174,0.0,0.989,0.038,0.022
3.37,0.056,0.216,0.014,0.304,6,947,0.004,0.008,0.038,0.019
5.907,0.099,0.387,0.028,0.23,6,1620,0.008,1.153,0.038,0.028
1.437,0.026,0.053,0.003,0.204,2,793,0.0,4.698,0.038,0.037
3.23,0.043,0.109,0.008,0.14,2,1840,0.001,36.827,0.038,0.048
6.24,0.126,0.406,0.024,0.217,7,1172,0.001,59.472,0.038,0.024
2.307,0.763,0.084,0.035,0.107,2,1065,0.324,4.844,0.038,0.033
4.203,0.051,0.211,0.014,0.284,4,1569,0.002,1.164,0.038,0.021
4.218,0.061,0.193,0.011,0.168,3,1999,0.027,73.249,0.038,0.034
1.992,0.036,0.113,0.008,0.25,5,618,0.005,0.069,0.038,0.022
2.938,0.062,0.124,0.009,0.185,3,1302,0.266,0.0,0.038,0.02
1.768,0.619,0.065,0.026,0.196,2,796,0.001,0.059,0.038,0.035
6.006,0.091,0.363,0.023,0.272,5,1974,0.001,0.002,0.038,0.017
3.794,0.035,0.218,0.02,0.196,6,1022,0.238,0.22,0.038,0.023
2.077,0.687,0.075,0.026,0.173,2,957,0.142,0.0,0.038,0.036
5.49,0.091,0.413,0.025,0.267,9,1249,0.036,0.001,0.038,0.02
7.01,0.083,0.534,0.034,0.166,7,1887,0.0,0.13,0.038,0.022
4.273,0.069,0.18,0.011,0.256,3,1872,0.054,0.001,0.038,0.021
5.758,0.113,0.411,0.033,0.101,6,1588,0.002,1.598,0.038,0.025
5.291,0.109,0.299,0.02,0.162,5,1624,0.102,0.0,0.038,0.018
1.182,0.021,0.055,0.003,0.234,3,512,1.652,5.976,0.038,0.032
3.455,0.049,0.28,0.015,0.303,9,788,0.0,0.072,0.038,0.015
3.071,0.042,0.188,0.012,0.069,5,1026,0.007,0.01,0.038,0.031
3.507,1.164,0.089,0.021,0.27,8,1849,6.298,0.037,0.038,0.039
2.463,0.12,0.135,0.008,0.192,5,735,0.0,0.001,0.038,0.025
2.078,0.094,0.072,0.004,0.221,9,1001,5.84,0.078,0.038,0.033
6.997,2.51,0.422,0.158,0.114,5,1623,0.002,0.001,0.037,0.026
4.003,0.054,0.261,0.016,0.142,6,1127,0.024,0.089,0.037,0.022
2.345,1.555,0.089,0.026,0.081,3,747,0.0,1.431,0.037,0.042
2.729,0.044,0.063,0.009,0.278,6,1862,7.923,0.543,0.037,0.042
7.334,0.062,0.508,0.031,0.265,7,1971,0.009,0.057,0.037,0.022
1.515,0.051,0.054,0.003,0.212,2,826,0.001,0.099,0.037,0.037
4.226,0.047,0.251,0.018,0.169,5,1356,0.001,8.03,0.037,0.027
2.307,0.028,0.079,0.006,0.131,2,1303,0.003,0.058,0.037,0.034
7.2,2.525,0.428,0.156,0.189,5,1637,0.0,11.367,0.037,0.027
9.235,2.837,0.7,0.25,0.258,7,1855,0.0,2.744,0.037,0.025
4.923,1.863,0.158,0.065,0.242,2,1906,3.934,0.176,0.037,0.041
3.244,1.15,0.14,0.047,0.297,5,1090,1.043,2.089,0.037,0.023
7.548,2.141,0.593,0.175,0.037,9,1160,0.14,0.004,0.037,0.026
10.312,3.533,0.84,0.31,0.262,9,1801,0.001,0.282,0.037,0.019
2.005,0.034,0.108,0.007,0.26,5,587,0.043,27.598,0.037,0.026
3.733,0.047,0.2,0.015,0.096,4,1498,0.006,3.295,0.037,0.027
1.226,0.02,0.046,0.003,0.211,2,664,0.004,0.003,0.037,0.037
1.616,0.025,0.057,0.004,0.259,2,877,3.117,39.914,0.037,0.047
2.256,0.039,0.152,0.01,0.149,7,534,0.002,0.245,0.037,0.022
2.379,0.064,0.104,0.007,0.139,3,1087,0.595,0.034,0.037,0.026
4.244,0.044,0.238,0.015,0.231,5,1282,0.126,2.326,0.037,0.021
8.884,0.173,0.595,0.037,0.172,7,1547,0.801,85.776,0.037,0.026
2.613,0.053,0.06,0.005,0.232,2,1823,9.534,0.012,0.037,0.044
2.529,0.052,0.113,0.007,0.147,3,1186,0.084,2.454,0.037,0.026
3.368,0.055,0.116,0.007,0.081,2,1967,0.012,0.293,0.037,0.036
5.843,1.913,0.458,0.178,0.302,8,1202,0.001,0.286,0.037,0.031
4.838,0.164,0.244,0.022,0.304,7,1518,0.544,6.705,0.037,0.028
4.046,1.415,0.202,0.05,0.133,4,1257,0.002,0.002,0.037,0.024
3.216,0.04,0.173,0.012,0.053,4,1287,0.037,0.8,0.037,0.035
6.431,0.108,0.54,0.027,0.239,9,1562,0.0,0.0,0.037,0.02
5.409,2.01,0.284,0.104,0.224,8,1463,0.196,0.001,0.037,0.021
3.806,1.394,0.19,0.062,0.141,4,1175,0.004,0.0,0.037,0.023
5.318,0.021,0.378,0.025,0.03,8,1078,0.0,0.0,0.037,0.023
3.184,1.153,0.146,0.059,0.093,3,1044,0.001,0.008,0.037,0.037
4.565,1.709,0.24,0.079,0.305,8,831,0.289,1.377,0.037,0.023
2.256,0.844,0.078,0.024,0.182,2,1028,0.001,0.001,0.037,0.032
3.513,0.094,0.123,0.008,0.25,7,1891,0.667,0.037,0.036,0.016
1.99,0.617,0.081,0.023,0.255,6,592,3.158,0.001,0.036,0.028
6.118,2.096,0.309,0.103,0.118,4,1925,0.001,0.054,0.036,0.025
2.263,0.043,0.1,0.007,0.129,3,1053,0.014,0.105,0.036,0.029
4.131,1.499,0.185,0.075,0.28,3,1359,0.038,71.668,0.036,0.034
6.068,2.141,0.393,0.134,0.098,6,1418,0.025,0.016,0.036,0.022
2.258,0.04,0.142,0.009,0.264,6,614,0.018,0.044,0.036,0.015
5.616,1.894,0.299,0.121,0.097,4,1840,0.014,8.506,0.036,0.027
5.525,1.749,0.475,0.19,0.194,9,1027,0.001,0.686,0.036,0.019
2.651,0.833,0.113,0.033,0.247,6,892,1.32,0.262,0.036,0.025
3.043,0.098,0.093,0.008,0.251,6,1705,5.765,20.407,0.036,0.041
2.001,0.06,0.11,0.007,0.268,9,548,0.449,0.0,0.036,0.023
2.005,0.572,0.072,0.018,0.214,7,552,5.525,0.188,0.036,0.04
2.947,0.854,0.174,0.053,0.236,5,791,0.007,0.955,0.036,0.021
1.607,0.581,0.06,0.02,0.086,2,726,0.619,0.001,0.036,0.035
