mean_fit_time,std_fit_time,mean_score_time,std_score_time,bootstrap,class_weight,criterion,max_depth,max_features,n_estimators,n_jobs,mean_test_score,std_test_score
40.363,1.646,0.344,0.061,False,balanced,entropy,1,,376,-1,0.128,0.071
11.665,0.536,0.26,0.034,False,balanced,entropy,4,log2,130,-1,0.117,0.042
92.652,1.617,0.554,0.113,False,balanced,log_loss,6,log2,757,-1,0.113,0.039
25.691,1.005,0.384,0.062,True,balanced,entropy,6,sqrt,318,-1,0.112,0.044
88.39,1.872,0.866,0.184,True,balanced,log_loss,7,sqrt,952,-1,0.111,0.04
112.155,3.54,0.33,0.095,True,balanced,gini,7,,337,-1,0.102,0.016
9.843,0.398,0.341,0.036,False,balanced,gini,1,log2,464,-1,0.099,0.04
10.892,0.41,0.282,0.096,False,balanced,log_loss,1,log2,403,-1,0.098,0.039
15.339,1.224,0.458,0.09,False,balanced,log_loss,1,sqrt,624,-1,0.097,0.039
16.812,0.136,0.444,0.071,False,balanced,log_loss,1,log2,642,-1,0.097,0.039
338.842,14.781,0.412,0.106,False,balanced,entropy,9,,428,-1,0.096,0.021
582.931,63.327,0.644,0.118,False,balanced,log_loss,12,,634,-1,0.095,0.032
581.458,5.236,0.468,0.14,False,,log_loss,17,,771,-1,0.088,0.045
568.523,23.206,0.744,0.086,False,,gini,9,,928,-1,0.087,0.09
356.96,28.157,0.61,0.109,True,balanced,log_loss,18,,566,-1,0.036,0.031
157.917,2.699,0.797,0.131,False,balanced,entropy,15,log2,651,-1,0.034,0.019
115.691,4.83,0.286,0.068,False,,entropy,6,,215,-1,0.009,0.012
119.527,2.284,0.384,0.06,True,,entropy,3,,603,-1,0.001,0.001
285.134,4.836,0.689,0.051,False,,entropy,3,,989,-1,0.001,0.001
72.126,2.229,0.67,0.095,True,,gini,8,sqrt,824,-1,0.001,0.001
142.114,5.465,1.018,0.112,True,,log_loss,16,log2,896,-1,0.001,0.001
24.536,0.527,0.295,0.072,True,,entropy,9,log2,214,-1,0.0,0.0
84.501,1.965,0.483,0.111,False,,entropy,9,sqrt,528,-1,0.0,0.0
69.12,1.182,0.574,0.101,True,,entropy,7,sqrt,747,-1,0.0,0.0
130.93,2.322,0.815,0.022,False,,entropy,12,sqrt,654,-1,0.0,0.0
52.712,1.29,0.349,0.104,False,,gini,1,,629,-1,0.0,0.0
102.148,2.552,0.824,0.151,True,,entropy,11,log2,808,-1,0.0,0.0
47.079,0.66,0.394,0.148,True,,log_loss,6,log2,569,-1,0.0,0.0
16.98,0.511,0.446,0.059,True,,gini,4,sqrt,337,-1,0.0,0.0
11.445,0.47,0.323,0.053,True,,entropy,3,log2,254,-1,0.0,0.0
