False Positive Rate,True Positive Rate,Thresholds
0.0,0.0,inf
2.2765042001502492e-05,0.0,0.9999814
0.00018212033601201994,0.0,0.99929136
0.00018212033601201994,0.00022187708009762592,0.99926776
0.0010471919320691146,0.00022187708009762592,0.99599284
0.0010471919320691146,0.00044375416019525185,0.9958172
0.0010927220160721197,0.00044375416019525185,0.9957204
0.0010927220160721197,0.0006656312402928778,0.99550843
0.0011837821840781297,0.0006656312402928778,0.99525136
0.0011837821840781297,0.0008875083203905037,0.99515533
0.0012293122680811345,0.0008875083203905037,0.9949948
0.0012293122680811345,0.0011093854004881295,0.99478745
0.001297607394085642,0.0011093854004881295,0.9944667
0.001297607394085642,0.0015531395606833815,0.9941608
0.001388667562091652,0.0015531395606833815,0.9938376
0.001388667562091652,0.0019968937208786333,0.99305445
0.0015024927720991646,0.0019968937208786333,0.99134815
0.0015024927720991646,0.002218770800976259,0.9910262
0.001661848066109682,0.002218770800976259,0.9900949
0.001661848066109682,0.002440647881073885,0.989909
0.0020488537801352244,0.002440647881073885,0.9860204
0.0020488537801352244,0.002662524961171511,0.98599356
0.002117148906139732,0.002662524961171511,0.9851924
0.002117148906139732,0.002884402041269137,0.9851368
0.002253739158148747,0.002884402041269137,0.98355037
0.002253739158148747,0.003106279121366763,0.98252577
0.002299269242151752,0.003106279121366763,0.98164344
0.002299269242151752,0.0033281562014643887,0.9814829
0.0023447993261547567,0.0033281562014643887,0.9809894
0.0023447993261547567,0.0035500332815620148,0.9804836
0.002458624536162269,0.0035500332815620148,0.9797101
0.002458624536162269,0.0039937874417572666,0.9792052
0.0027090399981787965,0.0039937874417572666,0.97742987
0.0027090399981787965,0.004215664521854893,0.97735965
0.0027545700821818018,0.004215664521854893,0.9770978
0.0027545700821818018,0.004437541601952518,0.9770017
0.002777335124183304,0.004437541601952518,0.97686934
0.002777335124183304,0.004659418682050144,0.97686815
0.002868395292189314,0.004659418682050144,0.97559893
0.002868395292189314,0.00488129576214777,0.9755421
0.003004985544198329,0.00488129576214777,0.9745447
0.003004985544198329,0.005103172842245396,0.9741725
0.0033009310902178614,0.005103172842245396,0.9706697
0.0033009310902178614,0.005325049922343022,0.97064763
0.003369226216222369,0.005325049922343022,0.9704049
0.003369226216222369,0.005546927002440648,0.9703734
0.0034375213422268764,0.005546927002440648,0.96971226
0.0034375213422268764,0.005768804082538274,0.96956134
0.0035968766362373937,0.005768804082538274,0.96843857
0.0035968766362373937,0.0059906811626359,0.9674213
0.0036196416782388963,0.0059906811626359,0.9668506
0.0036196416782388963,0.006212558242733526,0.9662679
0.0038928221822569263,0.006212558242733526,0.96290004
0.0038928221822569263,0.006434435322831151,0.9627241
0.003961117308261434,0.006434435322831151,0.96081233
0.003961117308261434,0.006656312402928777,0.9606673
0.004029412434265941,0.006656312402928777,0.95957094
0.004029412434265941,0.006878189483026403,0.9595056
0.004074942518268946,0.006878189483026403,0.9591553
0.004074942518268946,0.0071000665631240295,0.95899147
0.004211532770277961,0.0071000665631240295,0.9562839
0.004211532770277961,0.007321943643221655,0.95623136
0.004393653106289981,0.007321943643221655,0.9526432
0.004393653106289981,0.007543820723319281,0.9526196
0.004461948232294489,0.007543820723319281,0.951908
0.004461948232294489,0.007765697803416907,0.9516425
0.004735128736312519,0.007765697803416907,0.9481728
0.004735128736312519,0.008209451963612158,0.9472603
0.004894484030323036,0.008209451963612158,0.9453874
0.004894484030323036,0.00865320612380741,0.94529724
0.005008309240330549,0.00865320612380741,0.94410825
0.005008309240330549,0.008875083203905036,0.94391423
0.005463610080360598,0.008875083203905036,0.93669444
0.005463610080360598,0.009318837364100288,0.93622726
0.0055091401643636035,0.009318837364100288,0.9361805
0.0055091401643636035,0.009540714444197915,0.93607205
0.006078266214401166,0.009540714444197915,0.9294702
0.006078266214401166,0.009984468604393166,0.92939895
0.006488036970428211,0.009984468604393166,0.92554474
0.006488036970428211,0.010206345684490793,0.9255341
0.006783982516447743,0.010206345684490793,0.92222023
0.006783982516447743,0.010428222764588418,0.9220862
0.0068295126004507475,0.010428222764588418,0.92134666
0.0068295126004507475,0.010650099844686045,0.92090344
0.006875042684453753,0.010650099844686045,0.92082703
0.006875042684453753,0.01087197692478367,0.92081416
0.007057163020465773,0.01087197692478367,0.9195632
0.007057163020465773,0.011093854004881295,0.9195214
0.007125458146470281,0.011093854004881295,0.9186873
0.007125458146470281,0.011759485245174173,0.9184524
0.007193753272474787,0.011759485245174173,0.91710556
0.007193753272474787,0.0119813623252718,0.91643727
0.007421403692489813,0.0119813623252718,0.9148899
0.007421403692489813,0.012203239405369425,0.9146747
0.007444168734491315,0.012203239405369425,0.9141791
0.007444168734491315,0.012425116485467052,0.91390777
0.007603524028501832,0.012425116485467052,0.91166526
0.007603524028501832,0.012646993565564677,0.9115827
0.007717349238509345,0.012646993565564677,0.9110193
0.007717349238509345,0.012868870645662302,0.9109059
0.008058824868531883,0.012868870645662302,0.90772563
0.008058824868531883,0.013312624805857555,0.90646744
0.008172650078539396,0.013312624805857555,0.9048629
0.008172650078539396,0.013534501885955182,0.9048241
0.008195415120540898,0.013534501885955182,0.9047665
0.008195415120540898,0.013756378966052807,0.90468144
0.008263710246545404,0.013756378966052807,0.90415305
0.008263710246545404,0.013978256046150432,0.90406764
0.008514125708561932,0.013978256046150432,0.90160346
0.008514125708561932,0.014422010206345684,0.9013314
0.008559655792564937,0.014422010206345684,0.9009398
0.008559655792564937,0.01464388728644331,0.90079534
0.008787306212579962,0.01464388728644331,0.8998186
0.008787306212579962,0.014865764366540937,0.8997562
