mean_fit_time,std_fit_time,mean_score_time,std_score_time,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,mean_test_score,std_test_score
4.292,0.054,0.226,0.015,0.169,9,529,0.0,0.685,0.427,0.011
3.658,0.061,0.193,0.015,0.218,4,1357,0.009,0.001,0.427,0.025
14.29,0.098,0.853,0.06,0.112,8,1749,2.989,38.847,0.427,0.012
4.848,0.154,0.198,0.013,0.131,5,1906,7.747,5.984,0.427,0.028
1.787,0.028,0.08,0.006,0.205,3,806,0.006,0.66,0.427,0.025
11.06,0.151,0.688,0.047,0.048,8,1480,0.251,16.97,0.427,0.018
2.213,0.052,0.108,0.006,0.301,4,809,0.005,0.005,0.427,0.033
9.345,0.12,0.639,0.04,0.303,9,1183,0.003,13.482,0.427,0.012
4.998,0.054,0.235,0.017,0.071,9,534,0.085,0.826,0.427,0.016
2.836,0.091,0.124,0.01,0.252,3,1284,0.578,0.002,0.427,0.025
6.07,0.184,0.227,0.019,0.242,9,1779,3.352,4.238,0.427,0.012
4.218,0.13,0.213,0.017,0.047,5,1165,17.576,13.539,0.427,0.014
6.64,0.245,0.392,0.048,0.302,8,882,0.187,23.817,0.427,0.019
5.104,0.121,0.257,0.021,0.304,4,1821,0.035,0.001,0.426,0.03
5.517,0.184,0.256,0.015,0.182,7,1168,2.63,0.598,0.426,0.015
8.259,0.154,0.437,0.031,0.045,7,1254,2.355,0.001,0.426,0.017
3.905,0.139,0.154,0.011,0.302,3,1792,6.365,0.091,0.426,0.027
4.861,0.05,0.267,0.018,0.157,6,1081,0.227,54.449,0.426,0.027
3.58,0.093,0.158,0.01,0.208,3,1648,0.005,0.016,0.426,0.018
3.642,0.207,0.141,0.017,0.257,8,887,4.568,0.001,0.426,0.015
17.592,0.809,1.062,0.154,0.232,9,1923,0.503,23.117,0.426,0.014
2.947,0.127,0.113,0.007,0.254,8,760,6.638,0.0,0.426,0.01
9.73,0.416,0.625,0.042,0.172,7,1547,0.801,85.776,0.426,0.019
7.015,0.2,0.431,0.058,0.267,5,1907,0.573,0.125,0.426,0.014
4.352,0.137,0.227,0.015,0.229,4,1622,0.006,0.0,0.426,0.027
3.071,0.152,0.141,0.012,0.214,7,552,5.525,0.188,0.426,0.014
4.006,0.067,0.177,0.012,0.298,3,1804,0.0,0.192,0.426,0.031
1.807,0.147,0.06,0.006,0.291,7,813,18.696,0.259,0.426,0.019
17.126,0.878,1.031,0.122,0.066,9,1966,0.508,0.039,0.426,0.015
3.76,0.159,0.191,0.012,0.263,8,524,0.01,14.875,0.426,0.018
1.896,0.098,0.089,0.007,0.149,5,519,13.014,0.007,0.426,0.026
2.172,0.031,0.113,0.008,0.128,5,615,0.002,49.641,0.426,0.023
8.376,0.582,0.528,0.068,0.171,9,1198,0.37,0.001,0.426,0.015
6.711,0.049,0.395,0.03,0.194,6,1509,0.075,46.792,0.426,0.024
3.14,0.041,0.137,0.009,0.259,3,1398,0.511,0.001,0.426,0.031
12.563,0.533,0.725,0.097,0.057,8,1530,2.472,1.848,0.425,0.01
14.507,0.617,0.85,0.119,0.022,9,1577,0.058,3.367,0.425,0.015
4.381,0.184,0.229,0.017,0.256,5,1229,0.285,0.007,0.425,0.014
3.771,0.043,0.167,0.011,0.215,3,1705,0.873,0.001,0.425,0.029
4.885,0.031,0.278,0.018,0.211,6,1108,0.0,25.13,0.425,0.026
2.478,0.044,0.117,0.009,0.189,4,865,1.032,0.004,0.425,0.033
3.412,0.081,0.18,0.01,0.307,6,746,0.002,48.304,0.425,0.032
5.143,0.387,0.237,0.025,0.227,9,916,1.279,0.003,0.425,0.014
2.13,0.169,0.058,0.007,0.238,9,1039,32.237,0.001,0.425,0.008
3.863,0.08,0.171,0.012,0.237,3,1783,0.007,3.836,0.425,0.023
4.195,0.049,0.227,0.016,0.157,6,913,0.992,13.36,0.425,0.014
6.583,0.295,0.327,0.026,0.296,7,1513,4.579,72.125,0.425,0.014
8.947,0.119,0.621,0.042,0.09,9,1289,0.002,0.024,0.425,0.018
8.962,0.143,0.456,0.036,0.062,9,855,1.123,0.09,0.425,0.008
7.339,0.122,0.537,0.036,0.146,8,1295,0.0,0.001,0.425,0.013
3.825,0.342,0.165,0.018,0.036,7,863,30.694,9.3,0.425,0.025
3.136,0.067,0.104,0.007,0.283,7,1323,7.74,1.254,0.425,0.021
7.022,0.081,0.389,0.035,0.014,6,1490,0.099,0.001,0.425,0.011
2.714,0.043,0.078,0.004,0.304,5,1499,12.463,3.113,0.425,0.024
6.005,0.036,0.402,0.026,0.184,8,907,0.011,4.215,0.425,0.013
11.115,0.115,0.869,0.06,0.189,9,1941,0.033,0.0,0.425,0.016
3.708,0.055,0.114,0.008,0.278,6,1862,7.923,0.543,0.425,0.029
2.025,0.05,0.091,0.007,0.205,3,915,0.005,1.848,0.425,0.019
10.541,0.132,0.641,0.042,0.042,9,1192,0.004,2.707,0.425,0.013
4.346,0.111,0.217,0.017,0.209,4,1578,0.215,9.057,0.425,0.032
18.652,0.305,1.127,0.07,0.169,9,1940,0.347,42.032,0.425,0.018
6.3,0.064,0.375,0.025,0.086,5,1907,0.028,0.25,0.425,0.018
4.564,0.094,0.233,0.019,0.272,4,1706,0.036,0.032,0.424,0.029
3.911,0.13,0.17,0.012,0.264,3,1732,3.799,17.96,0.424,0.025
3.511,0.226,0.113,0.006,0.171,5,1789,18.311,56.087,0.424,0.013
2.844,0.035,0.146,0.01,0.17,5,775,9.267,90.495,0.424,0.014
4.237,0.108,0.212,0.013,0.253,8,561,0.434,10.37,0.424,0.012
3.721,0.133,0.125,0.01,0.258,8,1472,6.65,0.007,0.424,0.02
4.988,0.077,0.256,0.016,0.124,8,661,0.0,19.747,0.424,0.017
2.912,0.086,0.155,0.011,0.296,7,502,0.0,19.741,0.424,0.019
7.009,0.189,0.535,0.056,0.249,8,1369,0.005,0.185,0.424,0.016
3.772,0.062,0.199,0.014,0.096,4,1498,0.006,3.295,0.424,0.036
8.109,0.245,0.404,0.025,0.249,9,1324,1.679,7.915,0.424,0.013
8.529,0.184,0.574,0.045,0.265,7,1971,0.009,0.057,0.424,0.014
4.827,0.122,0.246,0.02,0.153,4,1763,0.708,1.245,0.424,0.032
3.74,0.037,0.195,0.012,0.268,7,619,0.053,25.153,0.424,0.02
4.023,0.125,0.191,0.012,0.162,8,507,1.007,0.002,0.424,0.011
11.419,0.162,0.825,0.054,0.188,8,1825,0.001,7.388,0.424,0.011
14.483,0.471,0.848,0.094,0.045,9,1671,0.001,5.363,0.424,0.012
3.29,0.111,0.186,0.012,0.195,5,965,0.042,15.196,0.424,0.029
4.822,0.09,0.272,0.018,0.147,5,1409,0.018,0.056,0.424,0.012
