mean_fit_time,std_fit_time,mean_score_time,std_score_time,bootstrap,class_weight,criterion,max_depth,max_features,n_estimators,n_jobs,mean_test_score,std_test_score
38.978,1.603,0.272,0.089,False,balanced,entropy,1,,376,-1,0.516,0.041
92.609,1.854,0.595,0.138,False,balanced,log_loss,6,log2,757,-1,0.513,0.05
25.417,0.799,0.355,0.127,True,balanced,entropy,6,sqrt,318,-1,0.513,0.049
11.362,0.63,0.276,0.015,False,balanced,entropy,4,log2,130,-1,0.509,0.054
82.226,1.611,0.805,0.093,True,balanced,log_loss,7,sqrt,952,-1,0.509,0.051
10.522,1.584,0.34,0.043,False,balanced,gini,1,log2,464,-1,0.505,0.048
15.15,0.849,0.332,0.101,False,balanced,log_loss,1,sqrt,624,-1,0.504,0.046
16.437,0.648,0.446,0.148,False,balanced,log_loss,1,log2,642,-1,0.504,0.046
110.147,2.916,0.421,0.03,True,balanced,gini,7,,337,-1,0.503,0.037
10.433,0.466,0.327,0.029,False,balanced,log_loss,1,log2,403,-1,0.503,0.047
346.161,5.031,0.448,0.094,False,balanced,entropy,9,,428,-1,0.474,0.042
177.699,9.4,1.139,0.257,False,balanced,entropy,15,log2,651,-1,0.471,0.046
625.005,16.55,0.725,0.118,False,balanced,log_loss,12,,634,-1,0.463,0.046
419.845,13.984,0.851,0.05,True,balanced,log_loss,18,,566,-1,0.442,0.03
152.06,2.919,1.35,0.059,True,,log_loss,16,log2,896,-1,0.399,0.039
641.41,8.258,0.498,0.22,False,,log_loss,17,,771,-1,0.394,0.037
137.819,5.817,0.796,0.158,False,,entropy,12,sqrt,654,-1,0.382,0.037
561.866,24.749,0.829,0.152,False,,gini,9,,928,-1,0.375,0.055
107.205,2.551,0.957,0.047,True,,entropy,11,log2,808,-1,0.36,0.036
116.751,5.983,0.305,0.114,False,,entropy,6,,215,-1,0.328,0.073
85.913,1.604,0.636,0.055,False,,entropy,9,sqrt,528,-1,0.319,0.038
24.636,0.698,0.356,0.072,True,,entropy,9,log2,214,-1,0.317,0.033
69.346,1.864,0.752,0.072,True,,gini,8,sqrt,824,-1,0.287,0.036
283.08,22.675,0.562,0.148,False,,entropy,3,,989,-1,0.25,0.168
115.785,2.592,0.44,0.072,True,,entropy,3,,603,-1,0.245,0.144
69.304,2.169,0.603,0.133,True,,entropy,7,sqrt,747,-1,0.245,0.043
46.867,0.842,0.585,0.06,True,,log_loss,6,log2,569,-1,0.181,0.062
16.535,0.553,0.355,0.05,True,,gini,4,sqrt,337,-1,0.059,0.04
11.507,0.458,0.271,0.103,True,,entropy,3,log2,254,-1,0.007,0.011
52.088,1.508,0.397,0.044,False,,gini,1,,629,-1,0.0,0.0
