mean_fit_time,std_fit_time,mean_score_time,std_score_time,bootstrap,class_weight,criterion,max_depth,max_features,n_estimators,n_jobs,mean_test_score,std_test_score
111.865,1.942,0.432,0.041,True,balanced,gini,7,,337,-1,0.258,0.026
88.012,2.725,0.886,0.068,True,balanced,log_loss,7,sqrt,952,-1,0.243,0.049
92.462,2.069,0.636,0.05,False,balanced,log_loss,6,log2,757,-1,0.239,0.052
25.256,1.179,0.45,0.046,True,balanced,entropy,6,sqrt,318,-1,0.238,0.051
340.02,6.827,0.536,0.032,False,balanced,entropy,9,,428,-1,0.231,0.034
11.386,0.525,0.329,0.055,False,balanced,entropy,4,log2,130,-1,0.228,0.055
40.556,1.278,0.317,0.113,False,balanced,entropy,1,,376,-1,0.223,0.046
16.766,0.266,0.547,0.042,False,balanced,log_loss,1,log2,642,-1,0.196,0.067
14.725,0.948,0.385,0.065,False,balanced,log_loss,1,sqrt,624,-1,0.196,0.067
10.209,0.364,0.329,0.058,False,balanced,gini,1,log2,464,-1,0.196,0.067
10.364,0.327,0.35,0.035,False,balanced,log_loss,1,log2,403,-1,0.196,0.067
586.479,16.978,0.727,0.078,False,balanced,log_loss,12,,634,-1,0.19,0.045
161.366,5.269,1.024,0.089,False,balanced,entropy,15,log2,651,-1,0.172,0.019
591.416,15.963,0.402,0.192,False,,log_loss,17,,771,-1,0.11,0.025
370.087,9.699,0.822,0.118,True,balanced,log_loss,18,,566,-1,0.088,0.045
571.174,15.589,0.839,0.047,False,,gini,9,,928,-1,0.085,0.068
285.807,5.467,0.622,0.101,False,,entropy,3,,989,-1,0.022,0.023
117.875,1.205,0.499,0.043,True,,entropy,3,,603,-1,0.022,0.023
113.177,2.975,0.348,0.04,False,,entropy,6,,215,-1,0.016,0.013
144.485,2.724,1.251,0.131,True,,log_loss,16,log2,896,-1,0.012,0.009
132.827,3.595,0.804,0.052,False,,entropy,12,sqrt,654,-1,0.005,0.004
105.692,3.095,0.969,0.092,True,,entropy,11,log2,808,-1,0.002,0.002
85.682,2.208,0.552,0.03,False,,entropy,9,sqrt,528,-1,0.0,0.0
69.77,3.603,0.705,0.048,True,,entropy,7,sqrt,747,-1,0.0,0.0
24.778,0.749,0.328,0.08,True,,entropy,9,log2,214,-1,0.0,0.0
72.781,2.342,0.708,0.149,True,,gini,8,sqrt,824,-1,0.0,0.0
16.908,0.397,0.411,0.051,True,,gini,4,sqrt,337,-1,0.0,0.0
46.907,0.752,0.606,0.059,True,,log_loss,6,log2,569,-1,0.0,0.0
53.085,0.776,0.41,0.072,False,,gini,1,,629,-1,0.0,0.0
12.093,0.206,0.367,0.099,True,,entropy,3,log2,254,-1,0.0,0.0
