mean_fit_time,std_fit_time,mean_score_time,std_score_time,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,mean_test_score,std_test_score
5.14,1.793,0.218,0.089,0.256,3,1872,0.054,0.001,0.121,0.03
4.573,0.078,0.188,0.013,0.283,3,1964,0.892,0.001,0.11,0.018
3.059,0.054,0.103,0.007,0.228,2,1738,0.003,0.0,0.107,0.044
3.462,0.06,0.116,0.008,0.284,2,1952,0.001,0.012,0.106,0.038
3.319,0.058,0.109,0.008,0.3,2,1851,0.287,0.007,0.106,0.043
2.573,0.042,0.088,0.006,0.259,2,1447,0.002,0.011,0.105,0.042
3.871,0.055,0.179,0.012,0.231,3,1826,0.0,5.868,0.105,0.042
2.786,0.051,0.094,0.006,0.234,2,1567,0.243,0.003,0.105,0.036
7.21,0.084,0.572,0.033,0.29,8,1674,0.004,0.0,0.104,0.045
1.896,0.022,0.067,0.004,0.265,2,1054,0.009,0.877,0.104,0.036
3.87,0.054,0.164,0.011,0.215,3,1705,0.873,0.001,0.103,0.03
2.901,0.019,0.097,0.006,0.251,2,1625,0.004,0.003,0.103,0.043
3.246,0.046,0.11,0.007,0.205,2,1845,0.047,0.098,0.102,0.044
1.973,0.035,0.068,0.004,0.303,2,1095,0.0,0.023,0.102,0.043
4.133,0.063,0.313,0.02,0.291,8,920,0.0,0.011,0.102,0.038
2.411,0.852,0.108,0.04,0.243,3,883,0.3,0.004,0.102,0.047
2.395,0.041,0.121,0.008,0.241,4,905,0.452,5.868,0.102,0.026
1.805,0.025,0.064,0.004,0.254,2,1013,0.02,0.0,0.1,0.034
3.93,1.324,0.135,0.055,0.287,2,1833,0.0,0.625,0.1,0.042
4.92,1.647,0.217,0.085,0.305,3,1885,0.001,6.536,0.1,0.018
4.132,0.068,0.21,0.015,0.209,4,1578,0.215,9.057,0.1,0.016
3.468,0.029,0.159,0.01,0.171,3,1658,0.006,5.825,0.1,0.035
6.966,2.297,0.564,0.175,0.266,9,1223,0.001,0.354,0.099,0.046
3.807,1.239,0.206,0.076,0.119,4,1078,0.0,6.801,0.099,0.032
3.48,1.179,0.151,0.061,0.252,3,1284,0.578,0.002,0.098,0.032
2.671,0.036,0.117,0.007,0.233,3,1211,0.04,0.101,0.098,0.029
3.485,0.051,0.152,0.009,0.127,3,1576,1.426,0.195,0.098,0.044
3.389,0.05,0.178,0.013,0.191,4,1311,0.008,5.016,0.098,0.029
2.444,0.186,0.08,0.005,0.238,2,1338,0.002,0.003,0.098,0.043
3.986,1.413,0.132,0.038,0.154,2,1868,0.0,0.0,0.098,0.042
1.834,0.024,0.064,0.004,0.269,2,1015,0.003,0.0,0.098,0.033
2.941,0.049,0.1,0.007,0.229,2,1671,0.272,0.001,0.098,0.043
2.978,1.019,0.106,0.046,0.215,2,1398,0.001,0.001,0.097,0.046
5.859,2.033,0.231,0.088,0.157,3,1997,0.001,6.738,0.097,0.032
6.189,2.097,0.294,0.102,0.284,4,1850,0.141,1.56,0.097,0.015
1.925,0.645,0.075,0.029,0.278,2,757,0.007,0.139,0.097,0.037
2.211,0.029,0.076,0.004,0.183,2,1260,0.0,0.016,0.097,0.034
3.826,0.065,0.165,0.01,0.221,3,1716,0.284,2.208,0.097,0.03
3.071,0.05,0.106,0.008,0.167,2,1770,0.038,0.595,0.096,0.036
2.726,0.961,0.125,0.043,0.258,3,878,0.108,2.856,0.096,0.047
4.908,1.832,0.21,0.071,0.298,3,1804,0.0,0.192,0.096,0.004
4.655,1.639,0.161,0.063,0.19,2,1879,0.542,0.098,0.096,0.046
4.108,0.06,0.176,0.01,0.197,3,1848,1.792,0.522,0.095,0.024
2.432,0.047,0.126,0.007,0.198,4,945,0.007,4.563,0.095,0.026
3.967,1.29,0.165,0.052,0.262,3,1450,2.019,0.011,0.095,0.02
2.171,0.024,0.1,0.006,0.184,3,966,0.311,0.001,0.095,0.043
2.369,0.798,0.086,0.037,0.249,2,1109,0.003,0.007,0.095,0.04
4.67,0.062,0.229,0.017,0.272,4,1706,0.036,0.032,0.095,0.018
